,id
162,1402697059392700422
163,1402696530985984007
164,1402689972512210950
165,1402677033172451337
166,1402674566686720000
167,1402674496394440710
168,1402624867829227521
169,1402621837159419908
170,1402606305542610949
171,1402605402479599620
172,1402605235638616066
173,1402604791793164290
174,1402598906421202944
175,1402596612841476097
176,1402595740329861127
177,1402595135704162304
178,1402595031937126400
179,1402593789705850881
180,1402593679899086851
181,1402593574336798723
182,1402592805059506179
183,1402592596921307142
184,1402589811739869184
185,1402585254678892544
186,1402545397889970176
187,1402513034988429320
188,1402512590786502658
189,1402498773331464197
190,1402479950997884931
191,1402474174216650755
192,1402455247390392324
193,1402434876717076482
194,1402416709609345027
195,1402344995374440448
196,1402342743976914946
197,1402342044891324425
198,1402341941489057798
199,1402327413095387136
200,1402325953569775616
201,1402323754328461319
202,1402323648791433217
203,1402322175080681475
204,1402314990451896321
205,1402314126265929736
206,1402313873819148289
207,1402313417831194624
208,1402312813926928387
209,1395422600990429190
210,1386233363825111042
211,1401014424073289728
212,1402296512676347904
213,1402284479083958272
214,1402283377890365448
215,1402228349498445824
216,1402226470592946187
217,1402220201903591428
218,1402220172648370179
219,1402220053093916678
220,1402219992159076357
221,1402219967286857732
222,1402219881844596740
223,1402219083664404484
224,1402218960704225282
225,1402217902758141952
226,1402216917348360197
227,1402211678545231882
228,1401986895756791814
229,1401985516946571272
230,1401985222401572868
231,1401974180640329739
232,1401950847106441223
233,1401949207251013638
234,1401949148300066820
235,1401920454806458374
236,1401919666734391297
237,1401919286336274433
238,1401919183177269254
239,1401919100218118144
240,1401918466135822339
241,1401917455258329090
242,1401917271979724812
243,1401913646343667715
244,1401912406046122001
245,1401912095147446272
246,1401912066995335173
247,1401911917661282311
248,1401911910417633284
249,1401903978464620546
250,1401835628321394689
251,1401818142356250626
252,1401813165730668545
253,1401786040466264064
254,1401785055593349126
255,1401762374835650560
256,1401759160996335616
257,1401737201252196354
258,1401690569693347843
259,1401600237349871630
260,1401580202732527617
261,1401579764834574345
262,1401562444154249219
263,1401560586144686081
264,1401512827274289152
265,1401505834887258112
266,1401504814039814146
267,1401504621382848514
268,1401494958918582273
269,1401484551420092418
270,1401477413066915840
271,1401025457248780289
272,1401014606374522884
273,1401014452603006978
274,1400982353779040258
275,1400981206116745223
276,1400980294166007808
277,1400960494735855621
278,1400960082918129670
279,1400939993003081730
280,1400911541730480130
281,1400879499517083653
282,1400877775310012417
283,1400877302381154308
284,1400874294041890817
285,1400869356293218308
286,1400855384030593027
287,1400854471731785728
288,1400853177457647616
289,1400853150152675330
290,1400846823493881858
291,1400846790870581252
292,1400827470924943362
293,1400813351953965065
294,1400517676850630665
295,1400474968949932033
296,1400470994486190082
297,1400428742015598593
298,1400250033946173442
299,1400249787082018816
300,1399653353597116417
301,1398165226328109056
302,1399895291126554626
303,1399895230191751174
304,1399875053114859522
305,1399802357014306817
306,1399796390595858432
307,1399796351911792645
308,1399759902021664773
309,1399757739736371200
310,1399736298106195977
311,1399731715812249600
312,1399728692696391680
313,1399708034188943366
314,1399705879793082373
315,1399705392410771458
316,1399705372802404353
317,1399705364275335168
318,1399705296470220804
319,1399705240681725953
320,1399701295968235521
321,1399697568737660936
322,1399687068197007363
323,1399681303822450691
324,1399681289201070080
325,1399677644262739969
326,1399661497714872321
327,1399659129380261888
328,1399654906928173058
329,1399654870852964358
330,1399654454488616967
331,1399653817680023554
332,1399651759107280898
333,1398209768020484096
334,1398204239013453824
335,1398204108025249792
336,1398188796143980546
337,1398184955419713540
338,1398174776351510528
339,1398174702988926978
340,1398174609283989506
341,1398174559166210054
342,1398173758549078021
343,1398173630920638464
344,1398173457901305857
345,1398173138840608772
346,1398171918923149316
347,1398171836001751044
348,1398171237973737476
349,1398171190917799936
350,1398171132230967297
351,1398171059975770112
352,1398170972067409921
353,1398169879065382912
354,1398169673137537024
355,1398169612806721540
356,1398168233476231169
357,1398166247519494144
358,1398164957661966338
359,1398164781811568642
360,1398164096684539905
361,1398162777064325120
362,1398162180307103746
363,1398160972037120005
364,1398160619258404865
365,1398160482108952576
366,1398158937397080067
367,1398155715718664192
368,1398155629773135872
369,1398155598022287365
370,1398151736985100288
