,id
258,1473350868330336257
259,1473009144223383553
260,1473008936420888578
261,1473008604592627716
262,1473008455946743808
263,1473002743623208962
264,1473002651138854922
265,1472999624336150530
266,1472999333272379397
267,1472965375809794052
268,1472965003816878090
269,1472802538655203332
270,1472768702789693441
271,1472766580207632386
272,1472757724211564546
273,1472734131914256389
274,1472671377513717768
275,1472670610320994308
276,1472669672873070593
277,1472669461530427394
278,1472669418404597761
279,1472669387341672451
280,1472668800483012620
281,1472668698334932999
282,1472666105172922371
283,1472665859198005248
284,1472456117242540037
285,1472401502778150913
286,1472399359518072834
287,1472347217449082884
288,1472344697532260360
289,1472340697286066183
290,1472340496232157200
291,1472338959292375059
292,1472338771337228299
293,1472337853640323074
294,1472336958936526853
295,1472336476335751179
296,1472336141395369986
297,1472335719574249485
298,1472335177334591498
299,1472335012045500425
300,1472320407105679361
301,1472264662737633290
302,1472263543575789580
303,1472262987163574276
304,1472261472885555204
305,1472261207675621385
306,1472259920686952451
307,1472259743154585607
308,1471941559809712139
309,1471941115007881227
310,1471940956492640259
311,1471940776598908929
312,1471940612983246864
313,1471919276135227395
314,1471917347007045637
315,1471917144451526657
316,1471916584277102594
317,1471915633902247936
318,1471914988688351240
319,1471913821761679367
320,1471912677001814026
321,1471912410290212868
322,1471912255218495494
323,1471912089463803909
324,1471903003649220608
325,1471645365782958084
326,1471645236921356291
327,1471645055656017924
328,1471644885988122630
329,1471644811518222337
330,1471644536560664582
331,1471644499835240449
332,1471542257597751301
333,1471541630540947464
334,1471541545274941440
335,1471540690274422798
336,1471540577460269056
337,1471301122841272323
338,1471300831446188035
339,1471149865900118016
340,1471148824865427460
341,1471148608208703491
342,1471147476589682688
343,1471147296545034244
344,1471146205556228099
345,1471144627692523520
346,1471138392595439626
347,1470234288658558978
348,1470231253853118465
349,1468610502662180864
350,1468598173337677825
351,1468455574853636098
352,1468454530815860736
353,1468454131270627331
354,1468280036130234374
355,1468279623645544448
356,1468279159067758594
357,1468245950938456067
358,1468244162445287429
359,1468244091867701248
360,1468235580865757197
361,1468235057122971663
362,1468234261954285579
363,1468233691679928322
364,1468232610501517313
365,1468030940253462532
366,1468017986632134658
367,1468017341397184518
368,1468014374707249154
369,1468013766700851207
370,1468013536047779848
371,1467909752034365440
372,1467902190853492738
373,1467898713674768399
374,1467897842434023424
375,1467897632051937285
376,1467894992509276163
377,1467894367075684362
378,1467891005055717379
379,1467890827951329280
380,1467890683654594561
381,1467890194267484167
382,1467889930340864001
383,1467745613072809985
384,1467745588808716288
385,1467744770147688448
386,1467692450756112384
387,1467692425284104193
388,1467692237949911046
389,1467520519780118529
390,1467520288992731140
391,1467520041801375746
392,1467519561566232589
393,1467366469944098818
394,1467366401161764868
395,1467358857127247876
396,1467358267093524488
397,1467356260823670787
398,1467356102081888262
399,1467355929054175233
400,1467338435413397505
401,1467338007489433604
402,1467224082206933002
403,1467221231975993354
404,1467221064375754762
405,1467220709315424259
406,1466991058341007364
407,1466816455735922708
408,1466216755991392261
409,1466214805656776708
410,1466214647992930306
411,1466214513858990086
412,1466213942527770627
413,1466064853525798920
414,1466062533920534537
415,1465940319032287235
416,1465939982846148608
417,1465936410993696769
418,1465929170387668994
419,1465773690826760193
420,1465771951859900418
421,1465764752685215745
422,1465764652651012102
423,1465761268812427264
424,1465761139262906376
425,1465761033860042758
426,1487669475835060224
427,1487565601350500359
428,1487562025211412481
429,1487561898178625536
430,1487560764768632837
431,1487559423614722050
432,1487559333810479106
433,1487559012359057412
434,1487558861213085697
435,1487558650113757186
436,1487242034167652353
437,1487241890537820166
438,1487241839505813511
439,1487241519677464577
440,1487240955677876233
441,1487240628463448072
442,1465187758733815810
443,1465187655512051718
444,1465187621034807296
445,1465187406684962821
446,1465187372497195009
447,1465185506904313860
448,1465184706203303939
449,1465183677239869445
450,1465182168242552837
451,1465179999976128516
452,1465179426727948294
453,1465177910277333000
454,1465177401730551808
455,1465177156300857351
456,1465176815316520961
457,1465023794083348481
458,1465023188010602499
459,1465022875748868097
